id,name,access_key,created_at,description,instructions,is_closed,is_commentable,is_public,is_sponsored,owner_id,short_url,thumbnail,updated_at,video_id
45457,HUDK4011 Fall 2018 Discussion of Learning Networks by Will Richardson,f34298f556262c10c5bada809550e7b680ce4012fa26f8161ee4,2018-08-28T20:33:48.000-04:00,How can the kind of learning networks discussed by Will Richardson play a role in a new educational system? ,,false,true,false,false,50,maros,,2018-08-28T20:33:48.000-04:00,4240
47616,Project 3: Teacher Training Program,df3c8e2b52db6e1cdbc012e65d87110bd085aeade1a4aad050e3,2018-11-27T22:20:06.000-05:00,Shiyao/ Juye Wang,,false,true,true,false,48738,necis,,2018-11-27T22:20:06.000-05:00,41195
47579,HUDK 4011 Pecha Kucha Presentation,999a71ccafdcd4b18dc507ade2fe18ab38163ed1663742521e7d,2018-11-26T19:30:51.000-05:00,"It's a video proposal for a professional development Twitter chat, aligning with the strategic vision of the United Arab Emirates.",,false,true,true,false,48633,tukpuc,,2018-11-26T19:30:51.000-05:00,41158
47583,VR in Teaching Chemistry,08ab3a932ed5841befda7cdc8f4e6ce6459e43fd1e081d367a37,2018-11-26T23:14:07.000-05:00,VR in Teaching Chemistry for HUDK 4011 by Yanting Zhong &amp; Mandy Li.,,false,true,true,false,48732,segat,,2018-11-26T23:14:07.000-05:00,41162
47584,Project3_Qingying&amp;Lena,c9fb532f09e5fd1011dbcb2316a35c6a220d6beea4a4f59222a9,2018-11-27T00:51:07.000-05:00,HUDK 4011,,false,true,true,false,48629,nemulu,,2018-11-27T00:51:07.000-05:00,41163
47592,HUDK 4011 Project 3: Theater Game in Classroom,c17e88b6ca2024b807cfaae24e93520c38b52a240fb834d28a5b,2018-11-27T06:42:53.000-05:00,This is a Pecha Kucha style (20 slides/20 seconds per slide) presentation that we would like to elaborate on how theater game could be a powerful tool for learning when using in the classroom.,,false,true,true,false,48637,kawfov,,2018-11-27T06:42:54.000-05:00,41171
47590,HUDK4011 Project 3: U.A.E Ministry of Education Professional Development Proposal,e38effe2c76440947dfe385f047e9160fdfdb51f58e864c90f32,2018-11-27T04:58:31.000-05:00,"Teachers College, Columbia University<br />By: David Cody, Sihan Wang<br />Description: Online Learning Opportunities for Educators - Using an adaptive technology in a multi-level game format, help educators to develop discussion moderation techniques.",,false,true,true,false,48657,gipij,,2018-11-27T05:38:01.000-05:00,41169
47559,Group Me (Team Malik + Sherry),659b8f99918c721cd73d423e5d1e4941796890c25aae2bc32e71,2018-11-23T14:14:45.000-05:00,Project 3 for 4011 class ,,false,true,true,false,48649,ziriwe,,2018-11-23T14:14:45.000-05:00,41138
47607,EduSlide Expert (Team Yi &amp; Sizheng),dc9ceb0bd00a10d55ca33cdb5b77c7fe810da9717bf692170d06,2018-11-27T18:18:41.000-05:00,EduSlide Expert (Team Yi &amp; Sizheng),,false,true,true,false,48872,gape,,2018-11-27T18:18:41.000-05:00,41185
47634,Project 3 - Jessica &amp; Caoyuan,f0dcfb49d757e41ac3fdf4699a12bd8a03522fb4e12c35a77ead,2018-11-29T02:49:52.000-05:00,"We think it’s necessary to design an online professional course for teachers in UAE public primary schools, who are or will be engaged in coeducation. Our goal is to teach them how to guide both students and parents get used to the mixed classes and to benefit from it. We will provide teachers with academic knowledge and practical opportunity in terms of healthy gender development.",,false,true,true,false,49196,warono,,2018-11-29T02:49:52.000-05:00,41214
47638,Understanding by Design,c61f451fa0b9b9fdbc65dfdd80813420f1885366bc8e2ff28597,2018-11-29T21:12:09.000-05:00,We believe training teachers with UbD will benefit the quality of UAE's education!,,false,true,true,false,48848,votco,,2018-11-29T21:12:09.000-05:00,41219
47540,HUDK4011_Project3_Empathy,a9848908895c1d808400032abe180b43d2925987e2c619da1b93,2018-11-22T16:38:03.000-05:00,Teach teachers about empathy education based on emerging forms of online learning,,false,true,true,false,48878,fiksa,,2018-11-22T16:38:03.000-05:00,41119
47591,HUDK 4011 Project 3,0a341bce648a61aee20735bcf84b83d96bbdfa42a6aa18776b16,2018-11-27T05:10:33.000-05:00,"Teachers College, Columbia University<br />Author: Eli Groves, Katrina Xiao<br />Description: A new way to engage in parent-teacher relationship",,false,true,true,false,48654,gibu,,2018-11-27T05:10:33.000-05:00,41170
47570,Project 3 - PD on PISA for UAE teachers,e3239d26306134aceecd4a6ca4643b55435ab86744dcfc9703d0,2018-11-25T19:19:55.000-05:00,"In this project, we decide to do a professional development for teachers on how to better teach PISA-related subjects so that students can achieve better performance on this assessment. ",,false,true,true,false,48646,hutle,,2018-11-25T19:19:55.000-05:00,41149
47619,Be Intentional,33d8871e5d9f0c7efc2f8ba9125667f517ed92a7ab0c58fb5f69,2018-11-28T02:23:07.000-05:00,Using Intentionality and Metacognition to Facilitate Holistic Learning Experiences<br />,,false,true,true,false,49015,emjudo,,2018-11-28T02:23:07.000-05:00,41198

